,area_name_en,zone_index,rooms_en,weighted_score
335,Al Rashidiya,25,3 B/R,0.069356322
336,Al Rashidiya,25,4 B/R,0.02958925
337,Al Rashidiya,25,5 B/R,0.183451355
341,Al Rashidiya,25,Studio,0.002291635
342,Al Rowaiyah First,33,1 B/R,0.055522498
343,Al Rowaiyah First,33,2 B/R,0.012186096
344,Al Rowaiyah First,33,3 B/R,0.023636184
345,Al Rowaiyah First,33,4 B/R,0.03374858
346,Al Rowaiyah First,33,5 B/R,0.064165479
348,Al Rowaiyah First,33,Studio,0.001300243
349,Al Rowaiyah Second,49,Studio,0.002405656
350,Al Rowaiyah Third,102,1 B/R,0.144134616
351,Al Rowaiyah Third,102,2 B/R,0.008782707
352,Al Rowaiyah Third,102,3 B/R,0.421779598
354,Al Rowaiyah Third,102,Studio,0.003655405
355,Al Sabkha,109,1 B/R,0.047419542
356,Al Sabkha,109,2 B/R,0.013567979
357,Al Sabkha,109,3 B/R,0.688994505
358,Al Sabkha,109,4 B/R,0.058714579
360,Al Sabkha,109,Studio,0.003706338
361,Al Saffa First,24,1 B/R,0.055144938
362,Al Saffa First,24,2 B/R,0.014912611
363,Al Saffa First,24,3 B/R,0.021291707
364,Al Saffa First,24,4 B/R,0.032722618
365,Al Saffa First,24,5 B/R,0.038805279
368,Al Saffa First,24,Studio,0.003895262
369,Al Saffa Second,36,1 B/R,0.028865846
370,Al Saffa Second,36,2 B/R,0.012573021
371,Al Saffa Second,36,3 B/R,0.06443499
372,Al Saffa Second,36,4 B/R,0.051826588
373,Al Saffa Second,36,5 B/R,0.021170783
378,Al Saffa Second,36,Studio,0.001639062
379,Al Safouh First,201,1 B/R,0.036515357
380,Al Safouh First,201,2 B/R,0.012948506
381,Al Safouh First,201,3 B/R,0.075662985
382,Al Safouh First,201,4 B/R,0.028405215
383,Al Safouh First,201,5 B/R,0.042896261
389,Al Safouh First,201,Studio,0.0019311
390,Al Safouh Second,52,1 B/R,0.036302342
391,Al Safouh Second,52,2 B/R,0.010530584
392,Al Safouh Second,52,3 B/R,0.123473001
393,Al Safouh Second,52,4 B/R,0.033437169
394,Al Safouh Second,52,5 B/R,0.061075881
398,Al Safouh Second,52,Studio,0.002385839
399,Al Satwa,165,1 B/R,0.040450485
400,Al Satwa,165,2 B/R,0.016116446
401,Al Satwa,165,3 B/R,0.163693126
402,Al Satwa,165,4 B/R,0.034749906
403,Al Satwa,165,5 B/R,0.042972643
408,Al Satwa,165,Studio,0.002884739
409,Al Thanyah Fifth,183,1 B/R,0.040359078
410,Al Thanyah Fifth,183,2 B/R,0.089473682
411,Al Thanyah Fifth,183,3 B/R,0.110099024
412,Al Thanyah Fifth,183,4 B/R,0.031612455
413,Al Thanyah Fifth,183,5 B/R,0.065707229
423,Al Thanyah Fifth,183,Studio,0.002814572
424,Al Thanyah First,64,1 B/R,0.036241992
425,Al Thanyah First,64,2 B/R,0.015900294
426,Al Thanyah First,64,3 B/R,0.109390992
427,Al Thanyah First,64,4 B/R,0.033550364
428,Al Thanyah First,64,5 B/R,0.052196859
435,Al Thanyah First,64,Studio,0.002426402
436,Al Thanyah Third,182,1 B/R,0.047035923
437,Al Thanyah Third,182,2 B/R,0.037719597
438,Al Thanyah Third,182,3 B/R,0.095892423
439,Al Thanyah Third,182,4 B/R,0.03156596
440,Al Thanyah Third,182,5 B/R,0.049005056
447,Al Thanyah Third,182,Studio,0.001987738
448,Al Ttay,71,1 B/R,0.076756462
449,Al Ttay,71,2 B/R,0.015964635
450,Al Ttay,71,3 B/R,0.082835025
451,Al Ttay,71,4 B/R,0.076220487
455,Al Ttay,71,Studio,0.002478843
456,Al Twar First,37,1 B/R,0.034737465
457,Al Twar First,37,2 B/R,0.016706305
458,Al Twar First,37,3 B/R,0.05006886
459,Al Twar First,37,4 B/R,0.01606467
460,Al Twar First,37,5 B/R,0.034508499
463,Al Twar First,37,Studio,0.001412255
464,Al Twar Second,38,1 B/R,0.02731953
465,Al Twar Second,38,2 B/R,0.013238729
466,Al Twar Second,38,3 B/R,0.369471761
467,Al Twar Second,38,4 B/R,0.044725585
468,Al Twar Second,38,5 B/R,0.021917364
470,Al Twar Second,38,Studio,0.001174545
471,Al Twar Third,14,1 B/R,0.02090118
472,Al Twar Third,14,2 B/R,0.014758278
473,Al Twar Third,14,3 B/R,0.462237482
474,Al Twar Third,14,4 B/R,0.026179014
475,Al Twar Third,14,5 B/R,0.045851269
480,Al Twar Third,14,Studio,0.002016744
481,Al Waheda,56,1 B/R,0.026450576
482,Al Waheda,56,2 B/R,0.01288419
483,Al Waheda,56,3 B/R,0.360363938
484,Al Waheda,56,4 B/R,0.034982507
485,Al Waheda,56,5 B/R,0.131096439
490,Al Waheda,56,Studio,0.00293167
491,Al Wasl,68,1 B/R,0.038402469
492,Al Wasl,68,2 B/R,0.01345824
493,Al Wasl,68,3 B/R,0.335871184
494,Al Wasl,68,4 B/R,0.035122182
495,Al Wasl,68,5 B/R,0.075869113
501,Al Wasl,68,Studio,0.002111636
502,Al Yufrah 1,163,1 B/R,0.031666609
503,Al Yufrah 1,163,2 B/R,0.024520154
504,Al Yufrah 1,163,3 B/R,0.161055595
505,Al Yufrah 1,163,4 B/R,0.17928129
506,Al Yufrah 1,163,5 B/R,0.026552878
514,Al Yufrah 1,163,Studio,0.002032012
515,Al Yufrah 2,89,1 B/R,0.044310289
516,Al Yufrah 2,89,2 B/R,0.013167321
517,Al Yufrah 2,89,3 B/R,0.155752314
518,Al Yufrah 2,89,4 B/R,0.045243141
519,Al Yufrah 2,89,5 B/R,0.066471025
527,Al Yufrah 2,89,Studio,0.001869578
528,Al Yufrah 3,209,1 B/R,0.036015739
529,Al Yufrah 3,209,2 B/R,0.056637724
530,Al Yufrah 3,209,3 B/R,0.217133173
531,Al Yufrah 3,209,4 B/R,0.027612222
532,Al Yufrah 3,209,5 B/R,0.06750463
538,Al Yufrah 3,209,Studio,0.002001348
539,Al Yufrah 4,90,1 B/R,0.013115547
541,Al-Souq Al Kabeer (Deira),210,1 B/R,0.018560956
542,Al-Souq Al Kabeer (Deira),210,2 B/R,0.011086889
543,Burj Khalifa,155,1 B/R,0.038195544
544,Burj Khalifa,155,2 B/R,0.049538591
545,Burj Khalifa,155,3 B/R,0.154268735
546,Burj Khalifa,155,4 B/R,0.032705239
547,Burj Khalifa,155,5 B/R,0.056244648
555,Burj Khalifa,155,Studio,0.002664671
556,Business Bay,153,1 B/R,0.039038293
557,Business Bay,153,2 B/R,0.033950233
558,Business Bay,153,3 B/R,0.11182999
559,Business Bay,153,4 B/R,0.035667575
560,Business Bay,153,5 B/R,0.063886784
569,Business Bay,153,Studio,0.002922515
570,Dubai Investment Park First,180,1 B/R,0.035493321
571,Dubai Investment Park First,180,2 B/R,0.014584882
572,Dubai Investment Park First,180,3 B/R,0.083322572
573,Dubai Investment Park First,180,4 B/R,0.037859873
574,Dubai Investment Park First,180,5 B/R,0.058222694
581,Dubai Investment Park First,180,Studio,0.001904544
582,Dubai Investment Park Second,177,1 B/R,0.042588403
583,Dubai Investment Park Second,177,2 B/R,0.013796413
584,Dubai Investment Park Second,177,3 B/R,0.10605675
585,Dubai Investment Park Second,177,4 B/R,0.036116606
586,Dubai Investment Park Second,177,5 B/R,0.061766972
595,Dubai Investment Park Second,177,Studio,0.002004013
596,Grayteesah,54,1 B/R,0.020323394
597,Grayteesah,54,2 B/R,0.006825238
598,Grayteesah,54,3 B/R,0.008494196
599,Grayteesah,54,4 B/R,0.07095551
601,Grayteesah,54,Studio,0.000844379
602,Hadaeq Sheikh Mohammed Bin Rashid,211,1 B/R,0.045438814
604,Hadaeq Sheikh Mohammed Bin Rashid,211,2 B/R,0.029387202
605,Hadaeq Sheikh Mohammed Bin Rashid,211,3 B/R,0.108183521
606,Hadaeq Sheikh Mohammed Bin Rashid,211,4 B/R,0.031705109
607,Hadaeq Sheikh Mohammed Bin Rashid,211,5 B/R,0.071325151
615,Hadaeq Sheikh Mohammed Bin Rashid,211,Studio,0.002264665
616,Hatta,73,3 B/R,0.010317001
617,Hatta,73,4 B/R,0.040439593
618,Hessyan First,101,1 B/R,0.055496145
619,Hessyan First,101,2 B/R,0.035156178
620,Hessyan First,101,3 B/R,0.037511741
621,Hessyan First,101,4 B/R,0.024764795
622,Hessyan First,101,5 B/R,0.03273561
626,Hessyan First,101,Studio,0.001881131
627,Hessyan Second,168,1 B/R,0.07055002
628,Hessyan Second,168,2 B/R,0.007742249
629,Hessyan Second,168,3 B/R,0.014792408
